Location,Latitude,Longitude,Vegetation_Type,Biodiversity_Index,Protected_Area,Elevation_m,Slope_Degree,Soil_Type,Air_Quality_Index,Average_Temperature_C,Flood_Risk,Tourist_Attractions,Accessibility_Score,Tourist_Capacity_Limit,Climate_Risk_Score
Site 18,30.990257265289515,-107.45527253629892,Mountain,0.9931778977528705,False,3207,36,Sandy,145,-3.421428903990371,High,5,7,461,0.12471560105882726
Site 19,27.27780074568463,-90.81787370664276,Mountain,0.7126540751505767,True,1468,36,Rocky,60,20.463865070785992,High,6,2,242,0.9226997914383327
Site 20,21.649165607921677,-69.94455602018698,Forest,0.8020360502995318,False,2400,2,Loam,121,24.63782473190684,Moderate,7,4,352,0.9177724256318373
Site 21,34.474115788895176,-83.31507867789236,Wetland,0.5272698303375754,False,1417,33,Rocky,105,1.4151072527079158,Moderate,7,5,760,0.5102735869438835
Site 22,15.579754426081674,-99.5222573620174,Grassland,0.92110504010513,False,993,28,Sandy,22,25.11360723693749,Moderate,3,9,897,0.1702792530344114
Site 23,21.685785941408724,-63.281591992410355,Mountain,0.8240840244897718,False,274,2,Rocky,35,-6.758513249417417,Low,2,2,295,0.5481720899510363
Site 24,24.654473731747668,-79.65283595969177,Forest,0.7020100514314067,True,3455,14,Rocky,37,22.018557048289473,Low,8,7,977,0.5716127986991019
Site 25,28.24279936868144,-64.8884357996215,Mountain,0.5080847699772599,False,909,6,Loam,71,15.604446437747733,Moderate,9,5,457,0.8395529245959811
Site 26,41.407038455720546,-93.0688418709484,Grassland,0.795834410296752,True,3394,2,Clay,55,13.324431575412696,High,8,2,63,0.745391299929576
Site 27,17.98695128633439,-111.87670076448023,Wetland,0.506328914242081,True,3254,46,Loam,75,-0.7946902070020734,Low,8,3,480,0.16372411833573122
Site 28,30.569377536544465,-126.30213195446946,Grassland,0.500601806954509,False,3644,42,Rocky,106,4.473672111199395,Moderate,2,5,128,0.7348038498281237
Site 29,33.696582754481696,-79.17406039613047,Wetland,0.8080492810746773,False,439,15,Rocky,148,26.41217537080837,Low,4,1,933,0.22216552167815815
Site 30,11.85801650879991,-121.50879013961261,Wetland,0.5945085336672771,True,1086,44,Clay,61,8.629643457030028,Low,6,7,50,0.1805248243445387
Site 31,34.30179407605753,-108.8057410209623,Wetland,0.5959437748590477,False,1896,33,Clay,22,13.775203374511811,Moderate,8,1,836,0.4587464182913995
Site 32,16.82096494749166,-92.72703644812718,Mountain,0.8266357829163719,False,1750,19,Loam,148,27.43406131184087,High,2,6,938,0.16962724615075797
Site 33,12.60206371941118,-90.49083885541766,Grassland,0.5268485939696872,True,871,43,Clay,119,8.659537612929682,High,8,6,875,0.8463420944064973
Site 34,47.95542149013333,-87.95917621090048,Mountain,0.6567027807372782,True,650,38,Loam,143,5.530769535736351,Low,1,1,696,0.5168162665060141
Site 35,48.625281322982374,-118.36212687552096,Grassland,0.5747159510710096,True,2990,32,Sandy,64,25.728084441924835,High,6,7,515,0.628303380095906
Site 36,42.33589392465844,-103.41838166248459,Forest,0.7900881848982669,True,3717,13,Rocky,107,26.43551818022444,High,8,8,560,0.6191780711537919
Site 37,22.184550766934827,-86.79640410181233,Forest,0.8308825773636979,True,33,41,Clay,79,4.185530372079542,Moderate,8,3,544,0.9802988077149626
Site 38,13.906884560255355,-62.11267947563506,Grassland,0.8605679267995218,True,2752,34,Sandy,132,13.679587302008276,Moderate,7,1,894,0.9242042562516751
Site 39,37.36932106048627,-79.06582036102179,Grassland,0.6276156084592828,False,866,10,Sandy,63,28.54911091332952,Moderate,7,2,164,0.8642152529068315
Site 40,27.606099749584054,-65.41773700342296,Grassland,0.544624875818292,False,3032,19,Loam,40,-7.7811721944241485,High,9,1,625,0.44494230422182135
Site 41,14.881529393791153,-76.64515591800762,Grassland,0.5393418284709489,False,831,29,Loam,97,-8.407903219176646,High,2,9,323,0.23058973045448572
Site 42,29.807076404450807,-88.57981217753198,Wetland,0.713075774225362,False,3548,27,Clay,88,10.663220354759233,Moderate,1,4,496,0.6326803022563678
Site 43,11.375540844608736,-116.55836416045588,Mountain,0.9729222045313575,False,1110,14,Loam,105,1.649605745063539,High,2,7,757,0.49628446759905964
Site 44,46.372816083151285,-83.33200436752409,Wetland,0.6088645171235123,False,3281,37,Sandy,142,13.273995397366008,Moderate,3,5,355,0.30297398717136376
Site 45,20.351199264000677,-86.36343038280651,Mountain,0.6283708006707747,False,461,49,Sandy,53,18.97181411734379,Low,9,9,373,0.18792290373500598
Site 46,36.50089137415928,-87.82715806799135,Mountain,0.5504444010529295,False,2128,12,Rocky,76,-7.2370264991611055,Low,7,9,652,0.49248396759465296
Site 47,22.46844304357644,-95.71498924082314,Mountain,0.8027851369469652,False,321,46,Sandy,41,25.29469903208779,High,5,6,833,0.6857809482893024
Site 48,30.802720847112433,-92.9940377207507,Wetland,0.8399364369735874,True,414,34,Clay,24,1.075480049478239,High,5,5,447,0.662850832363511
Site 49,31.868411173731186,-106.58902310173272,Grassland,0.82146560408038,True,1874,46,Rocky,66,5.253899287207769,High,6,1,639,0.7965292958389812
Site 50,17.394178221021082,-93.64811151503878,Wetland,0.9305651215223907,False,3039,23,Loam,111,3.48147007856201,High,2,4,440,0.5198991642319225
Site 51,48.783385110582344,-116.17108660250652,Wetland,0.7432129175130359,False,2237,0,Rocky,72,23.59339432356795,Low,1,5,798,0.38947561773449035
Site 52,41.00531293444458,-73.63779218477362,Mountain,0.5672285203835322,True,3931,41,Sandy,149,-3.1739119935159676,Moderate,1,9,361,0.5848303753287983
Site 53,47.579957662567566,-116.99561317109045,Forest,0.6447025653522063,True,1256,23,Clay,111,-8.853071267534109,Low,3,2,63,0.9775054537924589
Site 54,45.79309401710595,-124.05235970773735,Forest,0.831214986710676,True,2439,26,Loam,136,28.872064468769167,Moderate,1,2,219,0.14058148424168543
Site 55,33.915999152443405,-99.46277815499899,Wetland,0.8065609868707799,False,3240,17,Loam,22,29.22529900884416,High,9,3,158,0.5757992229087491
Site 56,46.87496940092467,-83.91847923457567,Mountain,0.7655015648714812,True,3514,25,Sandy,14,0.3077131952074339,Moderate,5,3,887,0.396338052138132
Site 57,13.53970008207678,-99.3598222546521,Wetland,0.8414822093443436,True,3834,28,Clay,126,-9.625894595829788,Moderate,9,7,879,0.19481521503012517
Site 58,17.83931449676581,-110.6272107634084,Wetland,0.8186954251866496,True,167,7,Sandy,13,15.836684087733346,Moderate,5,1,92,0.4912035093677001
Site 59,11.809091556421523,-90.92801712766915,Grassland,0.9406624447324758,False,3302,43,Sandy,51,15.938531310590779,Moderate,1,2,874,0.6770477169845799
Site 60,23.013213230530575,-105.709836521146,Mountain,0.7930081887391482,True,1173,25,Clay,83,27.61426857862881,Low,7,1,407,0.5753490105194347
Site 61,25.54709158757928,-64.69926169113569,Forest,0.8893006793502782,False,2711,4,Sandy,35,1.9388204297024103,High,7,9,524,0.12625882323795098
Site 62,20.853961270955836,-65.41484022774995,Forest,0.6243535779832339,True,3621,32,Clay,144,-2.4198328841405026,High,4,9,124,0.6212057180395613
Site 63,43.14950036607718,-94.83397260195332,Forest,0.8390912922945339,True,1409,39,Clay,3,14.655293887322316,Moderate,3,3,976,0.30880232542063973
Site 64,24.270133067743572,-107.04812041872191,Wetland,0.9510970591913379,False,2428,4,Sandy,130,12.546842622337174,High,1,3,356,0.4073288995368832
Site 65,21.23738038749523,-78.40073102303526,Mountain,0.6928661639499166,True,1832,48,Sandy,18,18.70947174826465,Low,7,1,802,0.3809842689332159
Site 66,31.70784332632994,-127.43009395618533,Grassland,0.8895520936693233,True,2024,46,Rocky,57,25.405096131617817,Moderate,5,5,554,0.8726619769973519
Site 67,15.636968998990506,-96.7661695769444,Forest,0.8623946505977177,True,3346,35,Loam,6,12.389807499199577,High,1,3,884,0.14281571587271902
Site 68,42.08787923016159,-106.45736240107665,Mountain,0.5297630984359112,False,1640,12,Loam,35,-3.996989608248329,High,1,2,946,0.41319707682132323
Site 69,12.982025747190832,-65.56248804282117,Forest,0.7907541548120361,False,897,16,Clay,75,13.925157734465717,Moderate,3,3,129,0.4553347031756214
Site 70,49.47547746402069,-129.15978809091223,Grassland,0.5650946746004012,False,3931,12,Rocky,147,4.96406269725032,Low,3,8,733,0.6569508371353228
Site 71,40.889790771866295,-91.30295869971556,Mountain,0.9836595861152956,True,2911,24,Clay,101,8.109401144364142,Moderate,2,8,543,0.8100683636316764
Site 72,17.948627261366894,-78.15354932533617,Wetland,0.9057037513503281,False,2109,1,Rocky,75,28.37937563556664,Moderate,8,1,995,0.7548986238984764
Site 73,10.220884684944096,-96.04874087331712,Wetland,0.55486190062356,True,3538,23,Clay,67,12.197882169701508,High,8,2,877,0.7773598929624577
Site 74,42.618457138193364,-124.02178788860948,Forest,0.5608759988238392,True,2575,35,Loam,65,-4.014113644842303,High,6,1,308,0.2731483146731072
Site 75,38.274293753904686,-61.92770269804684,Forest,0.7972369274563095,True,861,24,Rocky,46,7.726344284980641,Moderate,5,8,553,0.9205635463707533
Site 76,39.160286721639494,-93.73926980367315,Mountain,0.6724445870865916,True,149,33,Sandy,133,-0.8627798953534835,Moderate,6,1,377,0.4727338115149089
Site 77,40.85081386743783,-87.00696289766921,Grassland,0.5174529295365546,True,3213,11,Sandy,17,-4.580700226682799,High,1,6,675,0.10999812785561945
Site 78,12.961786069363615,-113.43731521047448,Forest,0.7708207539165266,True,2163,18,Loam,21,18.489364493401318,Moderate,2,8,897,0.7012865638763763
Site 79,24.338629141770905,-96.15513404252374,Mountain,0.6939225498429235,True,823,49,Rocky,67,15.142762765556,Low,7,8,160,0.6436025191400635
Site 80,14.634762381005189,-99.95953556291747,Grassland,0.5505382461858713,True,2112,41,Sandy,97,9.911554660710465,Moderate,1,7,871,0.21336187158026143
Site 81,44.52413703502374,-124.75729105986113,Forest,0.9009601961279914,False,1452,29,Sandy,8,6.929531831633852,Low,8,8,563,0.963880844868405
Site 82,34.93192507310232,-122.5687752516773,Forest,0.957538382639403,False,2357,36,Sandy,74,2.888709232835126,Moderate,3,8,590,0.6054079877314436
Site 83,23.235920994105967,-71.37692362668578,Mountain,0.878296967007065,True,2753,42,Loam,16,-6.47965151125991,Moderate,4,3,833,0.5223375876780877
Site 84,12.542334011440946,-113.21260334553868,Forest,0.9112111550081387,False,2901,0,Clay,50,1.9707859012077389,Moderate,7,2,296,0.45830999983366716
Site 85,22.439292868626488,-116.35292099509586,Wetland,0.6082452836330587,False,1453,2,Sandy,23,23.535784918471435,High,7,4,270,0.2888662405542548
Site 86,23.007332881069882,-94.65619841249026,Grassland,0.6317864754593006,False,3071,48,Sandy,124,21.347015783492477,High,2,5,656,0.9575315282907569
Site 87,39.18424713352256,-76.18770080462409,Grassland,0.6042637701495939,True,3232,25,Clay,14,28.892708957649653,High,5,2,795,0.7319427751681027
Site 88,35.502298854208526,-125.66374369947084,Wetland,0.882531715682782,False,305,14,Sandy,130,16.242684485241547,High,8,8,364,0.6108433740327405
Site 89,45.48850970305306,-89.62344562532209,Mountain,0.9739585394672485,True,1384,45,Rocky,51,12.145590302735716,High,9,8,444,0.6680801816170651
Site 90,28.888597006477973,-121.65526900115987,Wetland,0.8584186033669513,False,3349,46,Sandy,53,1.8417793297148002,High,5,4,804,0.8563784126070364
Site 91,14.783769837532068,-127.44772644220672,Wetland,0.940733382439778,False,3367,47,Clay,57,-6.9255902994575935,Moderate,2,5,529,0.6721482528833286
Site 92,38.5297914889198,-126.30792334864478,Grassland,0.8193495474415863,False,1574,27,Loam,44,14.72073353944726,Low,4,5,73,0.20313165607423633
Site 93,40.4314019446759,-71.60851242540912,Mountain,0.6938299502793995,True,872,3,Loam,117,9.526487667030882,High,5,5,900,0.7275656429424268
Site 94,32.45108790277985,-121.7419261460357,Forest,0.7128808074651526,True,168,18,Rocky,76,20.362980535904427,High,6,9,721,0.6083824383034924
Site 95,40.83868719818244,-126.83940449113956,Wetland,0.5376607160837024,True,1482,23,Sandy,49,6.474317136625444,Moderate,6,9,891,0.969709696896135
Site 96,29.75182385457563,-99.34700789999614,Wetland,0.515728597623013,True,1603,39,Sandy,21,29.4220543145748,High,1,4,743,0.7603472932055416
Site 97,30.909313175279763,-70.92045696405827,Mountain,0.8477378020945388,True,1030,5,Clay,51,5.904482194537355,Moderate,6,1,290,0.4096026243822354
Site 98,27.101640734341984,-111.63141364574886,Wetland,0.7192144460055903,True,3668,15,Clay,30,3.3228653964632304,High,1,8,745,0.22185806626699844
Site 99,11.016765069763807,-100.48011677318586,Mountain,0.7761075340273147,True,1734,31,Rocky,70,24.83945507002322,Low,5,1,401,0.534052533222468
Site 100,14.315657079732178,-127.20542272053741,Forest,0.7788306238112082,True,3203,29,Rocky,89,5.820256920757405,High,7,7,904,0.7114188527306046
Site 101,11.25716742746937,-98.5645040105587,Mountain,0.6386879066666507,True,2635,34,Sandy,30,24.835892764827207,High,8,4,402,0.2595479661162316
Site 102,35.45641645055122,-89.56708435540065,Forest,0.7379462554147453,False,2809,7,Sandy,101,-8.905828575045991,Moderate,5,1,399,0.6844998468596648
Site 103,22.574239243053068,-90.03650623734987,Mountain,0.7353801108338511,False,346,4,Rocky,131,17.70373244262351,High,2,4,143,0.8430505822116153
Site 104,30.342827646588113,-106.73013154779444,Wetland,0.6942136106139285,True,3002,36,Loam,96,-7.125885060036108,Moderate,3,7,376,0.24134516054612593
Site 105,46.30265895704372,-107.9126773535805,Forest,0.9103376917005352,False,3792,11,Loam,66,-4.070701476601926,Low,7,8,769,0.7352071332469159
Site 106,19.971689165955,-122.53634667443815,Wetland,0.725582001843798,False,3667,24,Loam,136,18.00300079478365,High,4,2,988,0.16143187023983338
Site 107,26.415316921425188,-104.32411755476122,Forest,0.8018222622529939,True,734,32,Loam,82,1.5889336485409888,Moderate,1,9,102,0.10715507459806024
Site 108,40.22204554172195,-123.03537317889247,Mountain,0.947760060190413,True,1276,38,Rocky,55,-1.5826639488240204,Low,3,5,419,0.12937121769525908
Site 109,19.1519266196649,-76.33828387015639,Mountain,0.9331168114294612,False,2457,23,Clay,25,22.061045505173766,Low,2,8,946,0.6683541198788718
Site 110,13.079196393151719,-62.360799157626985,Mountain,0.9452111018895826,True,542,10,Loam,59,27.849874566947882,Moderate,9,2,143,0.9760258474157688
Site 111,21.590058116550722,-62.094788033330516,Grassland,0.635002498232507,False,354,41,Rocky,127,-0.7047740584679474,Moderate,1,2,659,0.7942350269257773
Site 112,16.448851490160177,-69.44502304372243,Grassland,0.5174912441540314,True,712,34,Loam,126,2.6878382494274113,High,9,4,494,0.32896833403644765
Site 113,47.18790609370292,-87.94454954622665,Forest,0.6305333999476646,False,3635,39,Sandy,71,18.56293224025641,Low,5,4,679,0.16451981785076325
Site 114,42.32481518257668,-80.93940119292841,Grassland,0.6393536728103544,True,3439,0,Loam,89,22.611714822235044,Low,6,3,339,0.6549887160936829
Site 115,35.33615026041694,-110.03559381237102,Mountain,0.954680163362484,False,583,7,Rocky,57,29.966492013091703,Moderate,6,5,878,0.10290599663702606
Site 116,44.85842360750871,-85.84607058791656,Grassland,0.8246213664189853,False,510,22,Sandy,62,0.9348289301439685,Low,6,2,407,0.8133270618448429
Site 117,42.14688307596458,-98.10453153920858,Grassland,0.5408519798011144,False,2580,19,Sandy,119,12.264743550140818,Moderate,9,1,110,0.31880847318303007
Site 118,17.462802355441433,-96.25878621561472,Wetland,0.5676892980055506,False,2575,31,Loam,130,-4.639242341811838,High,9,4,528,0.3692953683774257
Site 119,45.70235993959911,-76.95564077373893,Forest,0.5778380627709877,True,946,10,Loam,134,3.233604203939894,Moderate,7,6,301,0.4095810883661378
Site 120,31.573689676626028,-110.26571510819238,Forest,0.8152108740844616,False,3599,6,Sandy,113,-8.201257151015886,High,3,6,809,0.7871976475464582
Site 121,42.2976062065625,-107.73722718138362,Forest,0.8677070127535016,True,3473,29,Clay,1,-1.5664582865459806,Moderate,7,2,825,0.33916768439563816
Site 122,45.84365199693973,-65.27507462099544,Grassland,0.9298219552826981,False,1198,47,Rocky,139,10.261799071383699,High,5,6,615,0.3560238044983459
Site 123,22.720138998874553,-126.06429936043195,Mountain,0.9703182754031215,True,2871,38,Rocky,47,-3.449635086118281,Low,9,4,230,0.5868927443383123
Site 124,14.40207698110707,-96.00559911106618,Wetland,0.6008522786932209,False,3995,12,Rocky,52,25.575332406904366,Moderate,8,1,197,0.5167004757662488
Site 125,19.117406501677667,-66.10394397144968,Forest,0.6548862423620245,True,3921,41,Rocky,124,18.41236045718592,Moderate,6,1,95,0.9600127199509387
Site 126,27.08431154505025,-87.274589452729,Grassland,0.6201614403724154,False,77,48,Rocky,116,-8.890559898422756,Moderate,5,2,167,0.33705692387260544
Site 127,42.72059063689972,-91.75150480515074,Mountain,0.6793807837330689,False,439,2,Sandy,90,25.068062229008554,High,2,4,142,0.18270211894345792
Site 128,44.429223330253734,-112.51790745394513,Wetland,0.9573325537118746,True,1775,6,Rocky,81,29.092839767818752,Moderate,3,8,592,0.5868833271302993
Site 129,10.278085221247629,-105.97071576548862,Wetland,0.7875562834696808,False,2596,42,Clay,67,10.074462790680144,Moderate,3,3,262,0.26606762080514335
Site 130,30.42989210310263,-70.3566108936715,Forest,0.8690959486622496,False,3303,12,Clay,93,2.5844271019831098,Low,4,5,203,0.47226403024830255
Site 131,26.69644012595116,-90.85473077620793,Forest,0.745059618063391,False,2447,36,Loam,148,0.5385779760019727,Moderate,3,3,528,0.26847814920879454
Site 132,18.88431241882921,-93.96804643702541,Mountain,0.5144289566680622,False,3284,24,Loam,71,-6.503220231258053,Moderate,7,8,496,0.8928728998525673
Site 133,14.794614693347313,-123.02942005219798,Grassland,0.5320977429989071,True,1216,22,Loam,102,9.664375122761236,Moderate,6,4,965,0.394704669087103
Site 134,23.504606856145116,-128.87802904814137,Mountain,0.7689615156339429,False,3643,46,Loam,12,-7.994399115890558,Moderate,8,8,327,0.7973807548075731
Site 135,47.71638815650077,-62.54203679190657,Forest,0.8593945174100128,True,2748,32,Sandy,123,10.153487653100733,Low,2,8,362,0.9537430538028083
Site 136,22.928117280830207,-103.61096828992109,Mountain,0.6076652637643658,True,1290,4,Clay,149,0.10193762900372327,Moderate,2,9,490,0.9464955221593822
Site 137,30.751624869734645,-87.7750856530347,Grassland,0.860954786996152,True,125,31,Sandy,6,9.05727822312734,Moderate,1,2,665,0.5723209869849833
Site 138,38.12075835580711,-124.41994487689006,Wetland,0.9053328867417563,True,1738,29,Clay,23,6.73536505377815,Low,5,7,203,0.9849295957419991
Site 139,24.54518409517176,-82.18199999938673,Wetland,0.7059487391810556,False,2881,30,Sandy,132,2.204570080172047,High,7,1,834,0.6903434965387962
Site 140,48.87128330883843,-64.72033039058273,Wetland,0.8732096164220524,False,3453,12,Clay,49,7.945529580666918,High,9,4,906,0.2156400430310768
Site 141,48.497891797684446,-89.70343229018061,Wetland,0.70201497516423,True,2591,41,Loam,25,8.961355569826097,Low,5,4,918,0.8995392487524136
Site 142,20.071291833014566,-121.17192743372127,Forest,0.8391753147275101,False,501,4,Clay,137,23.347670463009543,Low,1,4,204,0.5218203175782196
Site 143,29.88994023569542,-89.27949307685662,Forest,0.8819985246597715,False,3474,22,Loam,10,16.63133373729081,High,3,7,884,0.23742485901454063
Site 144,22.035132392670786,-76.35569508267434,Grassland,0.9959633091540554,True,2871,0,Clay,39,7.326263907254077,Moderate,8,5,617,0.8122795798683454
Site 145,21.393619775098706,-101.5508424398187,Grassland,0.672698331031798,True,3332,9,Sandy,101,26.209677503029454,High,3,5,841,0.661962706819844
Site 146,11.475477894181312,-68.41135764409725,Grassland,0.7055203902873057,True,386,49,Rocky,10,20.229631060132327,Moderate,7,3,586,0.8939088744496332
Site 147,34.382573359195874,-84.59219326498449,Grassland,0.5828100297050857,False,411,26,Clay,111,-6.971324115668409,Low,3,5,931,0.8445902169908287
Site 148,30.10716092915446,-67.05257571975582,Mountain,0.6020365292009034,True,1369,7,Sandy,93,-3.8501668293643876,Low,2,5,827,0.38809938354048856
Site 149,12.059150049999573,-86.35462821268639,Grassland,0.8466975012991889,True,2006,2,Rocky,3,-6.733284655564935,Low,6,8,853,0.33068310849943394
Site 150,21.14585856946446,-120.80984195966231,Wetland,0.958522795077238,False,1117,18,Sandy,1,2.7545343911591544,High,2,2,795,0.760445693406545
Site 151,46.33063543866615,-108.32158022263675,Wetland,0.6973024758306203,False,2375,1,Rocky,44,7.425864832126937,Low,5,8,771,0.6159815780019863
Site 152,19.582475626678896,-115.87435362232802,Wetland,0.5899222234177706,False,2147,48,Loam,73,10.169836910394974,High,5,4,686,0.1628873291648189
Site 153,15.795794883648924,-66.38214515981963,Mountain,0.642549749691497,False,3868,30,Clay,102,24.05648794787116,Moderate,5,9,734,0.26347401936591086
Site 154,29.57811041110252,-76.77199528987622,Grassland,0.7275258524040693,False,2508,47,Sandy,41,-9.281748568675404,Moderate,6,8,679,0.23621810212928954
Site 155,49.42601816442403,-82.65211417629958,Wetland,0.6453251646826842,False,1338,9,Clay,28,7.13153622980494,Moderate,3,5,450,0.6308171945721989
Site 156,19.682210860460017,-108.93235762578648,Wetland,0.6167895415609331,False,2072,15,Loam,143,6.439934947286531,Low,5,5,363,0.1771860368507986
Site 157,36.885421896235144,-117.11686595648506,Wetland,0.8679922443785397,False,1941,36,Loam,99,27.899037466372086,Moderate,8,9,644,0.2869308432026403
Site 158,40.4647846131487,-77.04842384077617,Wetland,0.5039224606203117,True,2541,19,Clay,131,-0.35852329503228475,Low,4,5,643,0.5908388462322473
Site 159,19.50550175969599,-96.80894378846443,Forest,0.7696152636682416,False,352,2,Sandy,99,-5.103767523781242,High,5,9,72,0.21975112891826443
Site 160,39.12865394447438,-114.19473134945596,Grassland,0.8968834035148769,True,868,34,Sandy,15,-4.30959151264096,Low,1,6,697,0.32344463421647124
Site 161,24.711325308770128,-86.83646152843075,Grassland,0.6331141431587342,False,3188,33,Sandy,5,10.805708957113154,Moderate,1,1,355,0.916111930449656
Site 162,35.29223322374318,-127.17663035030836,Mountain,0.8016457553060087,False,2246,20,Clay,41,5.636152140218655,Low,8,8,449,0.7274057666251468
Site 163,35.34118843043579,-107.16808221102225,Forest,0.8344500528093088,True,1302,35,Sandy,127,20.165681134559577,Low,2,1,650,0.3761932851759169
Site 164,31.43098736299034,-97.20101037862057,Mountain,0.827512348202545,False,3653,31,Sandy,99,2.9272948861417127,High,7,2,860,0.8896196101188529
Site 165,13.611590802176332,-119.6429166123416,Wetland,0.7229248170993589,True,846,17,Rocky,75,-4.881529919905807,Low,7,6,401,0.32525632744296806
Site 166,43.41209982356952,-61.074186568641224,Mountain,0.6732889939378897,False,1102,33,Sandy,41,5.475031588841359,Moderate,9,5,930,0.6301744392831371
Site 167,22.83120259886943,-115.363184478727,Wetland,0.9179620365139067,True,1447,37,Loam,94,25.321424692902205,Low,1,2,931,0.43164490387982324
Site 168,17.46074041599417,-120.87528089697142,Wetland,0.8792229784999321,True,3425,2,Sandy,11,6.221062136842509,Low,2,6,260,0.7769344684230299
Site 169,11.631005662190557,-115.75255882791726,Grassland,0.6606275867069562,False,525,2,Clay,123,23.345108899005915,Moderate,1,7,643,0.4344286203441411
Site 170,33.63571772752967,-76.1657206788193,Grassland,0.551509597221103,True,2588,26,Clay,63,4.861203434143242,Low,1,3,145,0.3239755054053296
Site 171,37.1025744736913,-100.214603850971,Grassland,0.5359037727227346,True,1679,1,Sandy,28,1.2554249566581888,High,4,8,607,0.6469341467209392
Site 172,10.663513157114245,-90.42088421732234,Grassland,0.5471379889494681,False,2524,2,Clay,18,20.994509196213826,Moderate,8,4,482,0.7708063975450908
Site 173,30.48372233197124,-128.52935901095475,Grassland,0.7914346805960214,False,1878,16,Clay,96,-1.6306188931449341,Moderate,8,9,409,0.5827273193669025
Site 174,19.059831007917516,-127.58980839986798,Forest,0.5258310879144948,True,9,45,Sandy,44,-0.7267717532075402,Low,9,7,832,0.744659457120965
Site 175,35.806911616377995,-98.79221151210886,Grassland,0.6684634374820192,False,3630,38,Rocky,53,-8.007486476961345,High,2,3,98,0.47981458482811534
Site 176,16.97465716019966,-72.83413297588635,Mountain,0.8765998509571147,True,3574,37,Rocky,109,-2.486171548720222,High,7,5,710,0.8159015305539169
Site 177,37.63750952409864,-68.03327849047044,Wetland,0.6471740832576891,True,1283,39,Rocky,79,5.152615744391946,Moderate,4,9,636,0.6265222115900915
Site 178,25.469413852021496,-123.93054026830518,Grassland,0.8816540385900649,True,2571,18,Rocky,12,5.98290794859615,Moderate,3,9,270,0.2766249863062006
Site 179,47.46919954946938,-92.3145828529284,Forest,0.8727335191035277,False,2857,18,Loam,139,6.825123477262931,Low,4,8,785,0.9016765327904386
Site 180,15.50083776583973,-66.07392196045106,Mountain,0.6229135663166081,False,3809,43,Sandy,112,9.187717849414977,Moderate,4,8,55,0.8531415621364963
Site 181,23.642654042010342,-102.84190719214796,Mountain,0.8644110900463727,True,2819,4,Clay,70,12.876424630366039,High,3,9,104,0.9675209882555389
